,A_tp_fixe_1.5R,HOLD_sl_seul,B_proxy_G1G3G4G7,TP1+trail_chand_3atr,TP1+trail_chand_5atr,TP1+trail_chand_8atr,TP1+giveback_33pct,TP1+giveback_50pct,TP1+BE+trail5atr,TP1+trail5atr+ts48,A_fixe+ts24,TP1+giveback50+BE
BNB/USDT-1515427200000,1.5,-1.0,1.2651353460458121,1.0687459048556502,0.8914759280522982,0.47184571242852447,0.25,0.25,0.8914759280522982,0.8914759280522982,1.5,0.8
BNB/USDT-1524744000000,1.5,-1.0,1.2827702606136067,1.3100803877574019,1.1331225365293034,0.8676857596871556,0.25,0.25,1.1331225365293034,1.1331225365293034,1.5,0.8
BNB/USDT-1528056000000,1.5,-1.0,0.1,0.25,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
BNB/USDT-1547049600000,1.5,-1.0,0.8,0.25,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
BNB/USDT-1547078400000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1550721600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1553529600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1554321600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1558353600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1558843200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1561320000000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1580486400000,1.5,-1.0,1.3313321988816464,1.0187331254126688,0.6637890485709053,0.25,0.25,0.25,0.8,0.6637890485709053,1.5,0.8
BNB/USDT-1588276800000,-1.0,-1.0,0.4231521634136568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1594612800000,1.5,-1.0,2.217806991816679,1.5905683875622407,0.3414857252979373,0.25,2.239875590089895,1.33244752331471,0.8,0.3414857252979373,1.5,0.8
BNB/USDT-1594742400000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1597953600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1599422400000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1600156800000,-1.0,-1.0,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1601496000000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1608235200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1608364800000,1.5,-1.0,0.7008558938778483,1.3292297459508342,1.0426395536408632,0.63779842688481,0.25,0.25,1.0426395536408632,1.0426395536408632,1.5,0.8
BNB/USDT-1615449600000,1.5,-1.0,1.7914169327283367,1.3091195652139662,1.1657363681743358,0.4849298244955045,1.4658941522281976,1.4658941522281976,0.8,1.1657363681743358,1.5,1.4658941522281976
BNB/USDT-1615564800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1698163200000,1.5,13.755458996247205,0.8054287127538534,2.0004449973216345,2.461254001747334,2.436436870542036,2.3687537854366685,1.9502467092018214,2.461254001747334,2.461254001747334,1.5,1.9502467092018214
BNB/USDT-1708444800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1717646400000,1.5,-1.0,1.2647496213934626,0.9541870214459165,0.8073088770378001,0.25,0.25,0.25,0.8,0.8073088770378001,1.5,0.8
BNB/USDT-1727179200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1731312000000,1.5,-1.0,0.9085114692848135,2.46012471656983,0.7310778872282366,0.25,2.4853748801701903,2.4853748801701903,0.8,0.7310778872282366,1.5,0.8
BNB/USDT-1732464000000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1752912000000,1.5,22.109435798996373,1.2471061026819028,1.694104751712689,1.2163626936192413,1.2644142116720771,1.181077101258058,1.181077101258058,1.2163626936192413,1.2163626936192413,1.5,1.181077101258058
BNB/USDT-1753790400000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1754812800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
