policy,n,expectancy_r,median_r,total_r,win_pct,p25_r,p75_r,p90_r,max_r,avg_bars,stops_pct,tp1_pct
HOLD_sl_seul,123,4.176660165392033,-1.0,513.7292003432201,11.38211382113821,-1.0,-1.0,12.061864625416455,128.4653500106982,268.4065040650407,88.6178861788618,40.65040650406504
TP1+giveback_50pct,123,0.25742694306509145,-1.0,31.66351399700625,40.65040650406504,-1.0,0.25,1.7150953595527634,31.36973943293644,60.39837398373984,78.04878048780488,40.65040650406504
TP1+giveback50+BE,123,0.22210289780385778,-1.0,27.31865642987451,40.65040650406504,-1.0,0.8,1.540518951891287,31.36973943293644,45.292682926829265,85.36585365853658,40.65040650406504
TP1+trail_chand_8atr,123,0.03529289554055794,-1.0,4.341026151488627,40.65040650406504,-1.0,0.25,1.3499671414092396,13.648492040444584,30.3739837398374,100.0,40.65040650406504
A_tp_fixe_1.5R,123,0.016260162601626018,-1.0,2.0,40.65040650406504,-1.0,1.5,1.5,1.5,9.105691056910569,59.34959349593496,40.65040650406504
A_fixe+ts24,123,0.007323236126496813,-1.0,0.900758043559108,39.83739837398374,-1.0,1.5,1.5,1.5,8.422764227642276,58.536585365853654,39.83739837398374
B_proxy_G1G3G4G7,123,-0.010109920281204393,-1.0,-1.2435201945881402,45.52845528455284,-1.0,0.8989286424255551,1.579484461701275,4.492362437195985,9.617886178861788,98.3739837398374,34.146341463414636
TP1+BE+trail5atr,123,-0.019894067223500334,-1.0,-2.4469702684905412,40.65040650406504,-1.0,0.8,1.2896849622314015,11.493162461789655,19.097560975609756,100.0,40.65040650406504
TP1+giveback_33pct,123,-0.035596851484139394,-1.0,-4.378412732549146,40.65040650406504,-1.0,0.25,2.2268031075000017,4.831469366229105,29.146341463414632,77.23577235772358,40.65040650406504
TP1+trail_chand_3atr,123,-0.0752317825202567,-1.0,-9.253509249991573,40.65040650406504,-1.0,0.9703982264326986,1.5847811412037287,5.319283253004384,16.5609756097561,100.0,40.65040650406504
TP1+trail5atr+ts48,123,-0.09514164180580949,-1.0,-11.702421942114567,41.46341463414634,-1.0,0.25,1.3203726712284283,11.493162461789655,21.32520325203252,99.1869918699187,40.65040650406504
TP1+trail_chand_5atr,123,-0.10502656674693606,-1.0,-12.918267709873135,40.65040650406504,-1.0,0.25,1.3203726712284283,11.493162461789655,21.59349593495935,100.0,40.65040650406504
